date,employee_id,team,role,project,complexity,task_hours,tasks_completed,commits,prs_opened,features_delivered,test_cases_written,ai_usage_events,hourly_cost,period,year_month,ai_usage_level
2024-09-05,E034,Data,Developer,Orion,High,5.37,2,5,1,1,2,7,58,pre_ai,2024-09,High
2024-09-05,E035,Data,Tester,Apollo,High,8.17,2,4,1,1,2,2,58,pre_ai,2024-09,Low
2024-09-05,E036,Payments,Tester,Nova,Low,3.18,1,3,1,1,3,1,58,pre_ai,2024-09,Low
2024-09-05,E037,Platform,Developer,Apollo,Medium,3.57,4,4,0,1,3,3,42,pre_ai,2024-09,Medium
2024-09-05,E038,CoreApp,Tester,Nova,Medium,1.57,3,1,1,0,2,1,42,pre_ai,2024-09,Low
2024-09-05,E039,Payments,Developer,Nova,High,5.44,1,3,0,1,3,3,58,pre_ai,2024-09,Medium
2024-09-05,E040,Payments,Developer,Orion,Medium,4.22,4,2,1,2,3,0,58,pre_ai,2024-09,Low
2024-09-06,E001,Data,Tester,Orion,Medium,5.17,2,3,3,2,0,1,58,pre_ai,2024-09,Low
2024-09-06,E002,Platform,Developer,Nova,Low,3.34,1,4,2,0,3,3,42,pre_ai,2024-09,Medium
2024-09-06,E003,Data,Developer,Apollo,Medium,3.42,3,2,0,1,6,0,58,pre_ai,2024-09,Low
2024-09-06,E004,Platform,Developer,Orion,Medium,4.08,2,3,0,1,3,0,42,pre_ai,2024-09,Low
2024-09-06,E005,Payments,Tester,Apollo,Low,2.26,1,1,2,1,1,1,58,pre_ai,2024-09,Low
2024-09-06,E006,Data,Developer,Apollo,Medium,3.01,6,2,2,0,2,2,58,pre_ai,2024-09,Low
2024-09-06,E007,Data,Developer,Orion,Medium,2.89,4,3,0,0,4,3,58,pre_ai,2024-09,Medium
2024-09-06,E008,CoreApp,Developer,Apollo,Low,1.68,2,5,2,2,4,0,42,pre_ai,2024-09,Low
2024-09-06,E009,Platform,Developer,Apollo,Low,1.85,3,4,3,1,1,1,58,pre_ai,2024-09,Low
2024-09-06,E010,Data,Developer,Nova,Medium,3.46,4,2,1,1,2,2,58,pre_ai,2024-09,Low
2024-09-06,E011,Platform,Tester,Apollo,High,3.51,4,1,0,1,2,2,58,pre_ai,2024-09,Low
2024-09-06,E012,Platform,Tester,Orion,Medium,4.75,2,0,1,2,0,2,42,pre_ai,2024-09,Low
2024-09-06,E013,CoreApp,Tester,Apollo,Low,2.89,1,3,0,0,3,1,58,pre_ai,2024-09,Low
2024-09-06,E014,CoreApp,Developer,Apollo,Low,4.45,1,1,2,0,5,2,58,pre_ai,2024-09,Low
2024-09-06,E015,Platform,Tester,Nova,Medium,2.21,2,2,2,1,3,2,42,pre_ai,2024-09,Low
2024-09-06,E016,CoreApp,Developer,Apollo,Low,1.09,3,2,2,2,3,3,58,pre_ai,2024-09,Medium
2024-09-06,E017,Payments,Developer,Nova,Low,2.77,2,1,3,1,1,4,58,pre_ai,2024-09,Medium
2024-09-06,E018,Payments,Developer,Nova,Medium,4.19,3,2,0,0,3,3,42,pre_ai,2024-09,Medium
2024-09-06,E019,Platform,Developer,Nova,Low,1.8,4,1,2,0,3,1,42,pre_ai,2024-09,Low
2024-09-06,E020,Payments,Developer,Apollo,Medium,1.14,5,2,0,0,2,1,58,pre_ai,2024-09,Low
2024-09-06,E021,Platform,Tester,Nova,High,5.94,5,3,0,1,2,4,42,pre_ai,2024-09,Medium
2024-09-06,E022,Platform,Developer,Apollo,Medium,4.38,5,4,0,0,1,2,58,pre_ai,2024-09,Low
2024-09-06,E023,Data,Developer,Orion,Low,4.54,4,4,1,0,1,1,58,pre_ai,2024-09,Low
2024-09-06,E024,Platform,Developer,Apollo,High,5.52,2,4,1,0,3,2,58,pre_ai,2024-09,Low
2024-09-06,E025,Platform,Developer,Nova,Medium,4.02,6,1,3,1,3,3,42,pre_ai,2024-09,Medium
2024-09-06,E026,Platform,Developer,Nova,Medium,4.92,5,2,0,2,3,3,58,pre_ai,2024-09,Medium
2024-09-06,E027,Data,Developer,Nova,High,1.9,2,3,0,0,1,3,42,pre_ai,2024-09,Medium
2024-09-06,E028,Data,Developer,Apollo,Medium,5.25,4,2,0,2,3,3,58,pre_ai,2024-09,Medium
2024-09-06,E029,Data,Developer,Nova,Medium,5.43,1,3,0,0,6,1,58,pre_ai,2024-09,Low
2024-09-06,E030,CoreApp,Developer,Nova,Low,4.3,5,2,1,0,2,0,58,pre_ai,2024-09,Low
2024-09-06,E031,Payments,Developer,Orion,Medium,2.73,2,2,2,0,2,2,58,pre_ai,2024-09,Low
2024-09-06,E032,Payments,Tester,Apollo,Low,1.54,3,1,2,2,2,1,42,pre_ai,2024-09,Low
2024-09-06,E033,Data,Tester,Orion,Medium,3.93,3,5,2,1,4,2,58,pre_ai,2024-09,Low
2024-09-06,E034,CoreApp,Developer,Apollo,Medium,3.56,1,4,2,1,4,1,58,pre_ai,2024-09,Low
2024-09-06,E035,Platform,Developer,Apollo,Medium,0.3,3,3,0,0,0,0,58,pre_ai,2024-09,Low
2024-09-06,E036,CoreApp,Tester,Apollo,Medium,2.54,1,2,1,2,2,3,58,pre_ai,2024-09,Medium
2024-09-06,E037,Payments,Developer,Apollo,Medium,3.92,1,1,0,0,1,1,58,pre_ai,2024-09,Low
